staid,station_name,latitude,longitude,elevation,source_file
520,NETHERLANDS SCHELLINGWOUDE,52.38305555555556,4.966666666666667,-1,indexCDD_000520.txt
521,NETHERLANDS ANNA PAULOWNA,52.86666666666667,4.833055555555555,-1,indexCDD_000521.txt
522,NETHERLANDS ZANDVOORT,52.35,4.516666666666667,10,indexCDD_000522.txt
523,NETHERLANDS ZAANDIJK,52.48305555555556,4.8,0,indexCDD_000523.txt
524,NETHERLANDS MEDEMBLIK,52.783055555555556,5.1,-2,indexCDD_000524.txt
525,NETHERLANDS DEN OEVER,52.916666666666664,5.033055555555555,1,indexCDD_000525.txt
526,NETHERLANDS MARKEN,52.46666666666667,5.1,-1,indexCDD_000526.txt
527,NETHERLANDS HOOGEVEEN-1,52.71666666666667,6.466666666666667,11,indexCDD_000527.txt
528,NETHERLANDS IJSSELMUIDEN,52.56666666666667,5.95,-2,indexCDD_000528.txt
529,NETHERLANDS SCHOONLOO,52.9,6.7,21,indexCDD_000529.txt
530,NETHERLANDS ZWEELO,52.8,6.733055555555556,16,indexCDD_000530.txt
531,NETHERLANDS TOLLEBEEK,52.666666666666664,5.633055555555556,-1,indexCDD_000531.txt
532,NETHERLANDS EMMELOORD,52.71666666666667,5.783055555555555,-4,indexCDD_000532.txt
533,NETHERLANDS KLAZIENAVEEN,52.766666666666666,7.0,17,indexCDD_000533.txt
534,NETHERLANDS ELBURG,52.433055555555555,5.833055555555555,1,indexCDD_000534.txt
